[2013-05-17 14:11:08][wanghm][sys_msgstatus][insert][45][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('44','7','2')]
[2013-05-17 14:11:26][wanghm][データベース更新エラー：sys_message, INSERT INTO sys_message (`sender`,`sendtype`,`status`,`recver`,`content`) VALUES ('7','1','1','1','>eeeee

aaaaa')]
[2013-05-17 14:12:24][wanghm][sys_message][insert][45][INSERT INTO sys_message (`sender`,`sendtype`,`recver`,`content`) VALUES ('7','1','1','>eeeee\r\n\r\naaaaa')]
[2013-05-17 14:16:26][wanghm][sys_message][insert][46][INSERT INTO sys_message (`sender`,`sendtype`,`recver`,`content`) VALUES ('7','1','9','>>VAC1736再修正完了。\r\n>\r\n>了解。\r\n\r\nadfasfasdf')]
[2013-05-17 14:16:43][wanghm][sys_message][insert][47][INSERT INTO sys_message (`sender`,`sendtype`,`recver`,`content`) VALUES ('7','1','12','VAC1660\r\npファイル修正なし、ファイルのサイズが違います\r\n\r\n是什么意思？我看了一下，没有发现问题。请确认一下。')]
[2013-05-17 14:27:37][wanghm][sys_message][insert][48][INSERT INTO sys_message (`sender`,`sendtype`,`recver`,`content`,`sendtime`) VALUES ('7','1','7','abcdefg time','<?php echo date(\'Y-m-d H:i:s); ?>')]
[2013-05-17 14:28:43][wanghm][sys_message][insert][49][INSERT INTO sys_message (`sender`,`sendtype`,`recver`,`content`,`sendtime`) VALUES ('7','1','7','abcde time','2013-05-17 14:28:37')]
[2013-05-17 14:28:52][wanghm][sys_msgstatus][insert][54][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('48','7','3')]
[2013-05-17 14:29:33][wanghm][sys_message][insert][50][INSERT INTO sys_message (`sender`,`sendtype`,`recver`,`content`,`sendtime`) VALUES ('7','1','7','p time','05-17 14:29')]
[2013-05-17 14:29:39][wanghm][sys_message][insert][51][INSERT INTO sys_message (`sender`,`sendtype`,`recver`,`content`,`sendtime`) VALUES ('7','2','1','t time','05-17 14:29')]
[2013-05-17 14:31:30][wanghm][sys_msgstatus][insert][55][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('48','7','3')]
[2013-05-17 14:35:38][wanghm][sys_msgstatus][insert][56][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('48','7','3')]
[2013-05-17 14:37:55][wanghm][sys_msgstatus][insert][57][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('50','7','2')]
[2013-05-17 14:38:24][hejun][sys_msgstatus][insert][58][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('51','9','2')]
[2013-05-17 14:44:15][wanghm][sys_msgstatus][insert][59][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('41','7','3')]
[2013-05-17 14:44:22][wanghm][sys_msgstatus][insert][60][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('40','7','3')]
[2013-05-17 14:44:27][wanghm][sys_msgstatus][insert][61][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('35','7','3')]
[2013-05-17 14:44:31][wanghm][sys_msgstatus][insert][62][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('39','7','3')]
[2013-05-17 14:48:50][wanghm][sys_message][insert][52][INSERT INTO sys_message (`sender`,`sendtype`,`recver`,`content`,`sendtime`) VALUES ('7','1','','','05/17 14:48')]
[2013-05-17 14:48:52][wanghm][sys_message][insert][53][INSERT INTO sys_message (`sender`,`sendtype`,`recver`,`content`,`sendtime`) VALUES ('7','1','','','05/17 14:48')]
[2013-05-17 14:49:07][wanghm][sys_msgstatus][insert][63][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('52','7','3')]
[2013-05-17 14:49:07][wanghm][sys_msgstatus][insert][64][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('53','7','3')]
[2013-05-17 14:49:11][wanghm][sys_msgstatus][insert][65][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('23','7','3')]
[2013-05-17 15:10:58][wanghm][sys_msgstatus][insert][66][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('19','7','2')]
[2013-05-17 15:13:49][wanghm][sys_msgstatus][insert][67][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('38','7','3')]
[2013-05-17 15:34:36][wanghm][sys_msgstatus][insert][68][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('51','7','2')]
[2013-05-17 15:35:14][hejun][sys_msgstatus][insert][69][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('51','9','3')]
[2013-05-17 15:37:24][wanghm][sys_msgstatus][insert][70][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('51','7','3')]
[2013-05-17 15:57:36][wanghm][sys_msgstatus][insert][71][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('11','7','2')]
[2013-05-17 15:57:36][wanghm][sys_msgstatus][insert][72][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('13','7','2')]
[2013-05-17 15:57:41][wanghm][sys_msgstatus][insert][73][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('17','7','3')]
[2013-05-17 15:57:41][wanghm][sys_msgstatus][insert][74][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('21','7','3')]
[2013-05-17 15:57:48][wanghm][sys_msgstatus][insert][75][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('15','7','2')]
[2013-05-17 15:57:48][wanghm][sys_msgstatus][insert][76][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('24','7','2')]
[2013-05-17 15:57:48][wanghm][sys_msgstatus][insert][77][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('37','7','2')]
[2013-05-17 15:57:48][wanghm][sys_msgstatus][insert][78][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('44','7','2')]
[2013-05-17 15:57:48][wanghm][sys_msgstatus][insert][79][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('48','7','2')]
[2013-05-17 15:57:48][wanghm][sys_msgstatus][insert][80][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('49','7','2')]
[2013-05-17 15:57:48][wanghm][sys_msgstatus][insert][81][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('50','7','2')]
[2013-05-17 15:57:59][wanghm][sys_msgstatus][insert][82][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('11','7','3')]
[2013-05-17 15:57:59][wanghm][sys_msgstatus][insert][83][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('13','7','3')]
[2013-05-17 15:57:59][wanghm][sys_msgstatus][insert][84][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('15','7','3')]
[2013-05-17 15:57:59][wanghm][sys_msgstatus][insert][85][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('19','7','3')]
[2013-05-17 15:58:05][wanghm][sys_msgstatus][insert][86][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('24','7','3')]
[2013-05-17 15:58:05][wanghm][sys_msgstatus][insert][87][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('37','7','3')]
[2013-05-17 15:58:05][wanghm][sys_msgstatus][insert][88][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('44','7','3')]
[2013-05-17 15:58:05][wanghm][sys_msgstatus][insert][89][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('48','7','3')]
[2013-05-17 15:58:05][wanghm][sys_msgstatus][insert][90][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('49','7','3')]
[2013-05-17 15:58:05][wanghm][sys_msgstatus][insert][91][INSERT INTO sys_msgstatus (`msgid`,`user`,`status`) VALUES ('50','7','3')]
